,City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
0,leningradskiy,69.38,178.42,-15.41,96,100,8.81,1580409727
1,rikitea,-23.12,-134.97,79.59,75,100,13.87,1580409727
2,nanortalik,60.14,-45.24,17.91,60,0,27.47,1580409727
3,fortuna,40.6,-124.16,55,100,75,4.7,1580409727
4,katsuura,35.13,140.3,50,61,75,18.34,1580409727
6,kaeo,-35.1,173.78,63,100,1,3.27,1580409727
8,ilebo,-4.32,20.58,72.73,94,88,3.06,1580409728
9,feijo,-8.16,-70.35,82.44,84,96,4.14,1580409728
10,busselton,-33.65,115.33,48.99,52,0,7.9,1580409728
11,pevek,69.7,170.31,-16.69,98,100,0.72,1580409728
12,kapustin yar,48.58,45.74,38.84,93,100,6.53,1580409728
13,kendari,-3.94,122.5,74.82,94,83,2.1,1580409728
14,saint-philippe,-21.36,55.77,78.8,74,20,6.93,1580409728
15,new norfolk,-42.78,147.06,61,82,49,5.82,1580409729
17,souillac,-20.52,57.52,78.8,78,40,3.36,1580409729
18,saedinenie,42.27,24.55,44.6,52,20,16.11,1580409729
19,punta arenas,-53.15,-70.92,57.2,50,61,48.32,1580409729
20,jamestown,42.1,-79.24,34,46,1,3.36,1580409610
21,severo-kurilsk,50.68,156.12,15.31,84,99,7.65,1580409729
23,ikom,5.97,8.71,84.02,14,7,1.88,1580409729
24,arraial do cabo,-22.97,-42.03,93.2,66,40,16.11,1580409696
25,alta floresta,-9.88,-56.09,91.4,52,40,4.7,1580409730
26,gorontalo,0.54,123.06,74.1,92,88,4.36,1580409730
27,darhan,49.49,105.92,4.37,79,100,0.81,1580409730
28,itoman,26.12,127.67,57.2,62,75,24.16,1580409730
29,san luis,-33.3,-66.34,88.84,25,0,6.38,1580409730
30,barahona,18.21,-71.1,86,62,40,18.34,1580409730
31,chara,56.91,118.26,6.13,94,100,0.6,1580409730
32,albany,42.6,-73.97,34,42,75,1.7,1580409665
33,ushuaia,-54.8,-68.3,50,71,75,36.91,1580409728
34,tuatapere,-46.13,167.68,55.99,71,0,18.99,1580409731
35,denizli,37.84,29.07,35.6,93,90,17.22,1580409731
36,tokur,53.13,132.9,-7.91,72,31,2.37,1580409731
37,butaritari,3.07,172.79,84.24,79,100,12.77,1580409731
38,acarau,-2.89,-40.12,86.54,62,70,11.41,1580409731
39,port macquarie,-31.43,152.92,75,94,5,5.82,1580409731
40,qaanaaq,77.48,-69.36,-20.51,96,95,4.25,1580409731
41,shetpe,44.17,52.12,42.04,96,97,15.55,1580409732
42,atuona,-9.8,-139.03,81.09,73,0,10.56,1580409732
44,barrow,71.29,-156.79,-23.8,74,1,8.05,1580409732
45,burns lake,54.23,-125.75,22.87,86,75,5.99,1580409732
46,boguchany,58.38,97.45,-15.52,97,87,3.74,1580409733
47,shebunino,46.43,141.86,16.74,86,100,19.17,1580409733
49,broome,42.25,-75.83,32,54,1,3.76,1580409734
50,bluff,-46.6,168.33,55.99,71,65,18.99,1580409734
51,stornoway,58.21,-6.39,44.6,93,75,27.51,1580409734
52,lompoc,34.64,-120.46,70,45,1,11.41,1580409735
